Study Package Cd;Study Package Version;Full Title;Stage;Study Package Category Type;Category Type Description;Credit Point Value;Nominal Hour Value;Non Credit Point Value;Scheduled Hour Value;Owning Organisational Unit Code;Owning Organisational Unit Name;Study Package Sort Code;Short Title;Abbreviated Title;Primary FOE;Award Code;Award Level Type;Expected Time to Complete;Study Type;Study Package Category;Secondary FOE;Study Package Grading Scheme Code;Study Package Requisite Types;Fee Level Type;Fee Level Code;Keyword;SpkStageCd_Code;SpkCatCd_Code;AwdCd_Code;AwdLvlTypeCd_Code;FeeLvlTypeCd_Code;StudyTypeCd_Code
C09019;6;Bachelor of Information Technology (Honours);Active;BH;Bachelor's Honours;48,0;0;0;0;D;Engineering and Information Technology;C09019;Bachelor of Information Technology (Honours);BIT(Hons);29900;Bachelor Honours;Honours Degree;1;Coursework;Course;;;;;;10070;AC;CR;BACHELORH;HONS;;$CWK
C09066;6;Bachelor of Engineering (Honours);Active;BHE;Bachelor's Honours Embedded;198,0;0;0;0;D;Engineering and Information Technology;C09066;Bachelor of Engineering (Honours);BE(Hons);30000;Bachelor Honours;Honours Degree;4,5;Coursework;Course;;;;;;10060;AC;CR;BACHELORH;HONS;;$CWK
C09067;6;Bachelor of Engineering (Honours) Diploma in Professional Engineering Practice;Active;BHE;Bachelor's Honours Embedded;240,0;0;0;0;D;Engineering and Information Technology;C09067;Bachelor of Engineering (Honours) Diploma in Professional Engineering Practice;BE(Hons) DipProfEngPrac;30000;Bachelor Honours/Dip in Prof Eng Prac;Honours Degree;5;Coursework;Course;;;;;;10060;AC;CR;BACHHDPEP;HONS;;$CWK
C09067;6;Bachelor of Engineering (Honours) Diploma in Professional Engineering Practice;Active;BHE;Bachelor's Honours Embedded;240,0;0;0;0;D;Engineering and Information Technology;C09067;Bachelor of Engineering (Honours) Diploma in Professional Engineering Practice;BE(Hons) DipProfEngPrac;30000;Bachelor/Bachelor/Diploma in Eng Prac;Honours Degree;5;Coursework;Course;;;;;;10060;AC;CR;BACHBDEP;HONS;;$CWK
C09070;5;Bachelor of Engineering (Honours) Bachelor of Business;Active;BCH;Bachelor's Combined Honours;246,0;0;0;0;D;Engineering and Information Technology;C09070;Bachelor of Engineering (Honours) Bachelor of Business;BE(Hons) BBus;30000;Bachelor Honours;Degree;5,5;Coursework;Course;80000;;;;;10060;AC;CR;BACHELORH;DEG;;$CWK
C09070;5;Bachelor of Engineering (Honours) Bachelor of Business;Active;BCH;Bachelor's Combined Honours;246,0;0;0;0;D;Engineering and Information Technology;C09070;Bachelor of Engineering (Honours) Bachelor of Business;BE(Hons) BBus;30000;Bachelor Honours;Degree;5,5;Coursework;Course;80000;;;;;21010;AC;CR;BACHELORH;DEG;;$CWK
C09070;5;Bachelor of Engineering (Honours) Bachelor of Business;Active;BCH;Bachelor's Combined Honours;246,0;0;0;0;D;Engineering and Information Technology;C09070;Bachelor of Engineering (Honours) Bachelor of Business;BE(Hons) BBus;30000;Bachelor;Degree;5,5;Coursework;Course;80000;;;;;10060;AC;CR;BACHELOR;DEG;;$CWK
C09070;5;Bachelor of Engineering (Honours) Bachelor of Business;Active;BCH;Bachelor's Combined Honours;246,0;0;0;0;D;Engineering and Information Technology;C09070;Bachelor of Engineering (Honours) Bachelor of Business;BE(Hons) BBus;30000;Bachelor;Degree;5,5;Coursework;Course;80000;;;;;21010;AC;CR;BACHELOR;DEG;;$CWK
C09071;5;Bachelor of Engineering (Honours) Bachelor of Business Diploma in Professional Engineering Practice;Active;BCH;Bachelor's Combined Honours;288,0;0;0;0;D;Engineering and Information Technology;C09071;Bachelor of Engineering (Honours) Bachelor of Business Dip Professional Eng Prac;BE(Hons) BBus DipProfEngPrac;30000;Bachelor/Bachelor/Diploma in Eng Prac;Degree;6;Coursework;Course;80000;;;;;21010;AC;CR;BACHBDEP;DEG;;$CWK
C09071;5;Bachelor of Engineering (Honours) Bachelor of Business Diploma in Professional Engineering Practice;Active;BCH;Bachelor's Combined Honours;288,0;0;0;0;D;Engineering and Information Technology;C09071;Bachelor of Engineering (Honours) Bachelor of Business Dip Professional Eng Prac;BE(Hons) BBus DipProfEngPrac;30000;Bachelor Honours/Dip in Prof Eng Prac;Degree;6;Coursework;Course;80000;;;;;10060;AC;CR;BACHHDPEP;DEG;;$CWK
C09071;5;Bachelor of Engineering (Honours) Bachelor of Business Diploma in Professional Engineering Practice;Active;BCH;Bachelor's Combined Honours;288,0;0;0;0;D;Engineering and Information Technology;C09071;Bachelor of Engineering (Honours) Bachelor of Business Dip Professional Eng Prac;BE(Hons) BBus DipProfEngPrac;30000;Bachelor;Degree;6;Coursework;Course;80000;;;;;21010;AC;CR;BACHELOR;DEG;;$CWK
C09071;5;Bachelor of Engineering (Honours) Bachelor of Business Diploma in Professional Engineering Practice;Active;BCH;Bachelor's Combined Honours;288,0;0;0;0;D;Engineering and Information Technology;C09071;Bachelor of Engineering (Honours) Bachelor of Business Dip Professional Eng Prac;BE(Hons) BBus DipProfEngPrac;30000;Bachelor Honours/Dip in Prof Eng Prac;Degree;6;Coursework;Course;80000;;;;;21010;AC;CR;BACHHDPEP;DEG;;$CWK
C09071;5;Bachelor of Engineering (Honours) Bachelor of Business Diploma in Professional Engineering Practice;Active;BCH;Bachelor's Combined Honours;288,0;0;0;0;D;Engineering and Information Technology;C09071;Bachelor of Engineering (Honours) Bachelor of Business Dip Professional Eng Prac;BE(Hons) BBus DipProfEngPrac;30000;Bachelor;Degree;6;Coursework;Course;80000;;;;;10060;AC;CR;BACHELOR;DEG;;$CWK
C09071;5;Bachelor of Engineering (Honours) Bachelor of Business Diploma in Professional Engineering Practice;Active;BCH;Bachelor's Combined Honours;288,0;0;0;0;D;Engineering and Information Technology;C09071;Bachelor of Engineering (Honours) Bachelor of Business Dip Professional Eng Prac;BE(Hons) BBus DipProfEngPrac;30000;Bachelor/Bachelor/Diploma in Eng Prac;Degree;6;Coursework;Course;80000;;;;;10060;AC;CR;BACHBDEP;DEG;;$CWK
C09072;5;Bachelor of Engineering (Honours) Bachelor of Science;Active;BCH;Bachelor's Combined Honours;246,0;0;0;0;D;Engineering and Information Technology;C09072;Bachelor of Engineering (Honours) Bachelor of Science;BE(Hons) BSc;30000;Bachelor;Degree;5,5;Coursework;Course;10000;;;;;21100;AC;CR;BACHELOR;DEG;;$CWK
C09072;5;Bachelor of Engineering (Honours) Bachelor of Science;Active;BCH;Bachelor's Combined Honours;246,0;0;0;0;D;Engineering and Information Technology;C09072;Bachelor of Engineering (Honours) Bachelor of Science;BE(Hons) BSc;30000;Bachelor Honours;Degree;5,5;Coursework;Course;10000;;;;;10060;AC;CR;BACHELORH;DEG;;$CWK
C09072;5;Bachelor of Engineering (Honours) Bachelor of Science;Active;BCH;Bachelor's Combined Honours;246,0;0;0;0;D;Engineering and Information Technology;C09072;Bachelor of Engineering (Honours) Bachelor of Science;BE(Hons) BSc;30000;Bachelor Honours;Degree;5,5;Coursework;Course;10000;;;;;21100;AC;CR;BACHELORH;DEG;;$CWK
C09072;5;Bachelor of Engineering (Honours) Bachelor of Science;Active;BCH;Bachelor's Combined Honours;246,0;0;0;0;D;Engineering and Information Technology;C09072;Bachelor of Engineering (Honours) Bachelor of Science;BE(Hons) BSc;30000;Bachelor;Degree;5,5;Coursework;Course;10000;;;;;10060;AC;CR;BACHELOR;DEG;;$CWK
C09073;5;Bachelor of Engineering (Honours) Bachelor of Science Diploma in Professional Engineering Practice;Active;BCH;Bachelor's Combined Honours;288,0;0;0;0;D;Engineering and Information Technology;C09073;Bachelor of Engineering (Honours) Bachelor of Science Dip ProfEngPrac;BE(Hons) BSc DipProfEngPrac;30000;Bachelor/Bachelor/Diploma in Eng Prac;Degree;6;Coursework;Course;10000;;;;;10060;AC;CR;BACHBDEP;DEG;;$CWK
C09073;5;Bachelor of Engineering (Honours) Bachelor of Science Diploma in Professional Engineering Practice;Active;BCH;Bachelor's Combined Honours;288,0;0;0;0;D;Engineering and Information Technology;C09073;Bachelor of Engineering (Honours) Bachelor of Science Dip ProfEngPrac;BE(Hons) BSc DipProfEngPrac;30000;Bachelor Honours/Dip in Prof Eng Prac;Degree;6;Coursework;Course;10000;;;;;21100;AC;CR;BACHHDPEP;DEG;;$CWK
C09073;5;Bachelor of Engineering (Honours) Bachelor of Science Diploma in Professional Engineering Practice;Active;BCH;Bachelor's Combined Honours;288,0;0;0;0;D;Engineering and Information Technology;C09073;Bachelor of Engineering (Honours) Bachelor of Science Dip ProfEngPrac;BE(Hons) BSc DipProfEngPrac;30000;Bachelor;Degree;6;Coursework;Course;10000;;;;;21100;AC;CR;BACHELOR;DEG;;$CWK
C09073;5;Bachelor of Engineering (Honours) Bachelor of Science Diploma in Professional Engineering Practice;Active;BCH;Bachelor's Combined Honours;288,0;0;0;0;D;Engineering and Information Technology;C09073;Bachelor of Engineering (Honours) Bachelor of Science Dip ProfEngPrac;BE(Hons) BSc DipProfEngPrac;30000;Bachelor;Degree;6;Coursework;Course;10000;;;;;10060;AC;CR;BACHELOR;DEG;;$CWK
C09073;5;Bachelor of Engineering (Honours) Bachelor of Science Diploma in Professional Engineering Practice;Active;BCH;Bachelor's Combined Honours;288,0;0;0;0;D;Engineering and Information Technology;C09073;Bachelor of Engineering (Honours) Bachelor of Science Dip ProfEngPrac;BE(Hons) BSc DipProfEngPrac;30000;Bachelor Honours/Dip in Prof Eng Prac;Degree;6;Coursework;Course;10000;;;;;10060;AC;CR;BACHHDPEP;DEG;;$CWK
C09073;5;Bachelor of Engineering (Honours) Bachelor of Science Diploma in Professional Engineering Practice;Active;BCH;Bachelor's Combined Honours;288,0;0;0;0;D;Engineering and Information Technology;C09073;Bachelor of Engineering (Honours) Bachelor of Science Dip ProfEngPrac;BE(Hons) BSc DipProfEngPrac;30000;Bachelor/Bachelor/Diploma in Eng Prac;Degree;6;Coursework;Course;10000;;;;;21100;AC;CR;BACHBDEP;DEG;;$CWK
C09074;5;Bachelor of Engineering (Honours) Bachelor of Medical Science;Active;BCH;Bachelor's Combined Honours;246,0;0;0;0;D;Engineering and Information Technology;C09074;Bachelor of Engineering (Honours) Bachelor of Medical Science;BE(Hons) BMedSc;30000;Bachelor Honours;Degree;5,5;Coursework;Course;19901;;;;;21100;AC;CR;BACHELORH;DEG;;$CWK
C09074;5;Bachelor of Engineering (Honours) Bachelor of Medical Science;Active;BCH;Bachelor's Combined Honours;246,0;0;0;0;D;Engineering and Information Technology;C09074;Bachelor of Engineering (Honours) Bachelor of Medical Science;BE(Hons) BMedSc;30000;Bachelor;Degree;5,5;Coursework;Course;19901;;;;;10060;AC;CR;BACHELOR;DEG;;$CWK
C09074;5;Bachelor of Engineering (Honours) Bachelor of Medical Science;Active;BCH;Bachelor's Combined Honours;246,0;0;0;0;D;Engineering and Information Technology;C09074;Bachelor of Engineering (Honours) Bachelor of Medical Science;BE(Hons) BMedSc;30000;Bachelor Honours;Degree;5,5;Coursework;Course;19901;;;;;10060;AC;CR;BACHELORH;DEG;;$CWK
C09074;5;Bachelor of Engineering (Honours) Bachelor of Medical Science;Active;BCH;Bachelor's Combined Honours;246,0;0;0;0;D;Engineering and Information Technology;C09074;Bachelor of Engineering (Honours) Bachelor of Medical Science;BE(Hons) BMedSc;30000;Bachelor;Degree;5,5;Coursework;Course;19901;;;;;21100;AC;CR;BACHELOR;DEG;;$CWK
C09075;5;Bachelor of Engineering (Honours) Bachelor of Medical Science Diploma in Professional Engineering Practice;Active;BCH;Bachelor's Combined Honours;288,0;0;0;0;D;Engineering and Information Technology;C09075;Bachelor of Engineering (Honours) Bachelor of Medical Science DipProfEngPrac;BE(Hons) BMedSc DipProfEngPrac;30000;Bachelor;Degree;6;Coursework;Course;19901;;;;;21100;AC;CR;BACHELOR;DEG;;$CWK
C09075;5;Bachelor of Engineering (Honours) Bachelor of Medical Science Diploma in Professional Engineering Practice;Active;BCH;Bachelor's Combined Honours;288,0;0;0;0;D;Engineering and Information Technology;C09075;Bachelor of Engineering (Honours) Bachelor of Medical Science DipProfEngPrac;BE(Hons) BMedSc DipProfEngPrac;30000;Bachelor/Bachelor/Diploma in Eng Prac;Degree;6;Coursework;Course;19901;;;;;21100;AC;CR;BACHBDEP;DEG;;$CWK
C09075;5;Bachelor of Engineering (Honours) Bachelor of Medical Science Diploma in Professional Engineering Practice;Active;BCH;Bachelor's Combined Honours;288,0;0;0;0;D;Engineering and Information Technology;C09075;Bachelor of Engineering (Honours) Bachelor of Medical Science DipProfEngPrac;BE(Hons) BMedSc DipProfEngPrac;30000;Bachelor Honours/Dip in Prof Eng Prac;Degree;6;Coursework;Course;19901;;;;;21100;AC;CR;BACHHDPEP;DEG;;$CWK
C09075;5;Bachelor of Engineering (Honours) Bachelor of Medical Science Diploma in Professional Engineering Practice;Active;BCH;Bachelor's Combined Honours;288,0;0;0;0;D;Engineering and Information Technology;C09075;Bachelor of Engineering (Honours) Bachelor of Medical Science DipProfEngPrac;BE(Hons) BMedSc DipProfEngPrac;30000;Bachelor Honours/Dip in Prof Eng Prac;Degree;6;Coursework;Course;19901;;;;;10060;AC;CR;BACHHDPEP;DEG;;$CWK
C09075;5;Bachelor of Engineering (Honours) Bachelor of Medical Science Diploma in Professional Engineering Practice;Active;BCH;Bachelor's Combined Honours;288,0;0;0;0;D;Engineering and Information Technology;C09075;Bachelor of Engineering (Honours) Bachelor of Medical Science DipProfEngPrac;BE(Hons) BMedSc DipProfEngPrac;30000;Bachelor;Degree;6;Coursework;Course;19901;;;;;10060;AC;CR;BACHELOR;DEG;;$CWK
C09075;5;Bachelor of Engineering (Honours) Bachelor of Medical Science Diploma in Professional Engineering Practice;Active;BCH;Bachelor's Combined Honours;288,0;0;0;0;D;Engineering and Information Technology;C09075;Bachelor of Engineering (Honours) Bachelor of Medical Science DipProfEngPrac;BE(Hons) BMedSc DipProfEngPrac;30000;Bachelor/Bachelor/Diploma in Eng Prac;Degree;6;Coursework;Course;19901;;;;;10060;AC;CR;BACHBDEP;DEG;;$CWK
C09076;5;Bachelor of Engineering (Honours) Bachelor of Creative Intelligence and Innovation;Active;BCH;Bachelor's Combined Honours;270,0;0;0;0;D;Engineering and Information Technology;C09076;Bachelor of Engineering (Honours) Bachelor of Creative Intelligence and Innovati;BE(Hons) BCIInn;30000;Bachelor;Honours Degree;6;Coursework;Course;100799;;;;;21060;AC;CR;BACHELOR;HONS;;$CWK
C09076;5;Bachelor of Engineering (Honours) Bachelor of Creative Intelligence and Innovation;Active;BCH;Bachelor's Combined Honours;270,0;0;0;0;D;Engineering and Information Technology;C09076;Bachelor of Engineering (Honours) Bachelor of Creative Intelligence and Innovati;BE(Hons) BCIInn;30000;Bachelor;Honours Degree;6;Coursework;Course;100799;;;;;10035;AC;CR;BACHELOR;HONS;;$CWK
