Study Package Cd;Study Package Version;Full Title;Stage;Study Package Category Type;Category Type Description;Credit Point Value;Nominal Hour Value;Non Credit Point Value;Scheduled Hour Value;Owning Organisational Unit Code;Owning Organisational Unit Name;Study Package Sort Code;Short Title;Abbreviated Title;Primary FOE;Award Code;Award Level Type;Expected Time to Complete;Study Type;Study Package Category;Secondary FOE;Study Package Grading Scheme Code;Study Package Requisite Types;Fee Level Type;Fee Level Code;Keyword;SpkStageCd_Code;SpkCatCd_Code;AwdCd_Code;AwdLvlTypeCd_Code;FeeLvlTypeCd_Code;StudyTypeCd_Code
C09076;5;Bachelor of Engineering (Honours) Bachelor of Creative Intelligence and Innovation;Active;BCH;Bachelor's Combined Honours;270,0;0;0;0;D;Engineering and Information Technology;C09076;Bachelor of Engineering (Honours) Bachelor of Creative Intelligence and Innovati;BE(Hons) BCIInn;30000;Bachelor Honours;Honours Degree;6;Coursework;Course;100799;;;;;21060;AC;CR;BACHELORH;HONS;;$CWK
C09076;5;Bachelor of Engineering (Honours) Bachelor of Creative Intelligence and Innovation;Active;BCH;Bachelor's Combined Honours;270,0;0;0;0;D;Engineering and Information Technology;C09076;Bachelor of Engineering (Honours) Bachelor of Creative Intelligence and Innovati;BE(Hons) BCIInn;30000;Bachelor Honours;Honours Degree;6;Coursework;Course;100799;;;;;10035;AC;CR;BACHELORH;HONS;;$CWK
C09119;2;Bachelor of Computing Science (Honours);Active;BHE;Bachelor's Honours Embedded;192,0;0;0;0;D;Engineering and Information Technology;C09119;Bachelor of Computing Science (Honours);BCompSc(Hons);20100;Bachelor Honours;Honours Degree;4;Coursework;Course;;;;;;10070;AC;CR;BACHELORH;HONS;;$CWK
C09123;4;Bachelor of Engineering (Honours) Bachelor of International Studies;Active;BCH;Bachelor's Combined Honours;258,0;0;0;0;D;Engineering and Information Technology;C09123;Bachelor of Engineering (Honours) Bachelor of International Studies;BEng (Hon) BIS;30000;Bachelor Honours;Degree;5,5;Coursework;Course;90300;;;;;10060;AC;CR;BACHELORH;DEG;;$CWK
C09123;4;Bachelor of Engineering (Honours) Bachelor of International Studies;Active;BCH;Bachelor's Combined Honours;258,0;0;0;0;D;Engineering and Information Technology;C09123;Bachelor of Engineering (Honours) Bachelor of International Studies;BEng (Hon) BIS;30000;Bachelor;Degree;5,5;Coursework;Course;90300;;;;;10060;AC;CR;BACHELOR;DEG;;$CWK
C09123;4;Bachelor of Engineering (Honours) Bachelor of International Studies;Active;BCH;Bachelor's Combined Honours;258,0;0;0;0;D;Engineering and Information Technology;C09123;Bachelor of Engineering (Honours) Bachelor of International Studies;BEng (Hon) BIS;30000;Bachelor;Degree;5,5;Coursework;Course;90300;;;;;21050;AC;CR;BACHELOR;DEG;;$CWK
C09123;4;Bachelor of Engineering (Honours) Bachelor of International Studies;Active;BCH;Bachelor's Combined Honours;258,0;0;0;0;D;Engineering and Information Technology;C09123;Bachelor of Engineering (Honours) Bachelor of International Studies;BEng (Hon) BIS;30000;Bachelor Honours;Degree;5,5;Coursework;Course;90300;;;;;21050;AC;CR;BACHELORH;DEG;;$CWK
C09124;4;Bachelor of Engineering (Honours) Bachelor of International Studies Diploma in Professional Engineering Practice;Active;BCH;Bachelor's Combined Honours;300,0;0;0;0;D;Engineering and Information Technology;C09124;BEng (Hon) BIS Diploma in Professional Engineering Practice;BEng (Hon) BIS Dip Prof Prac;30000;Bachelor;Degree;6,5;Coursework;Course;90300;;;;;21050;AC;CR;BACHELOR;DEG;;$CWK
C09124;4;Bachelor of Engineering (Honours) Bachelor of International Studies Diploma in Professional Engineering Practice;Active;BCH;Bachelor's Combined Honours;300,0;0;0;0;D;Engineering and Information Technology;C09124;BEng (Hon) BIS Diploma in Professional Engineering Practice;BEng (Hon) BIS Dip Prof Prac;30000;Bachelor Honours;Degree;6,5;Coursework;Course;90300;;;;;21050;AC;CR;BACHELORH;DEG;;$CWK
C09124;4;Bachelor of Engineering (Honours) Bachelor of International Studies Diploma in Professional Engineering Practice;Active;BCH;Bachelor's Combined Honours;300,0;0;0;0;D;Engineering and Information Technology;C09124;BEng (Hon) BIS Diploma in Professional Engineering Practice;BEng (Hon) BIS Dip Prof Prac;30000;Bachelor;Degree;6,5;Coursework;Course;90300;;;;;10060;AC;CR;BACHELOR;DEG;;$CWK
C09124;4;Bachelor of Engineering (Honours) Bachelor of International Studies Diploma in Professional Engineering Practice;Active;BCH;Bachelor's Combined Honours;300,0;0;0;0;D;Engineering and Information Technology;C09124;BEng (Hon) BIS Diploma in Professional Engineering Practice;BEng (Hon) BIS Dip Prof Prac;30000;Bachelor Honours;Degree;6,5;Coursework;Course;90300;;;;;10060;AC;CR;BACHELORH;DEG;;$CWK
C09147;2;Bachelor of Engineering (Honours) Bachelor of International Studies (Honours);Active;BCH;Bachelor's Combined Honours;258,0;0;0;0;D;Engineering and Information Technology;C09147;Bachelor of Engineering (Honours) Bachelor of International Studies (Honours);BEng (Hon)  BIS (Hon);30000;Bachelor Honours;Honours Degree;5,5;Coursework;Course;90300;;;;;21050;AC;CR;BACHELORH;HONS;;$CWK
C09147;2;Bachelor of Engineering (Honours) Bachelor of International Studies (Honours);Active;BCH;Bachelor's Combined Honours;258,0;0;0;0;D;Engineering and Information Technology;C09147;Bachelor of Engineering (Honours) Bachelor of International Studies (Honours);BEng (Hon)  BIS (Hon);30000;Bachelor Honours;Honours Degree;5,5;Coursework;Course;90300;;;;;10060;AC;CR;BACHELORH;HONS;;$CWK
C09148;2;Bachelor of Engineering (Honours) Bachelor of International Studies (Honours) Diploma in Professional Engineering Practice;Active;BCH;Bachelor's Combined Honours;300,0;0;0;0;D;Engineering and Information Technology;C09148;BEng (Hon) BIS (Hon) Diploma in Professional Engineering Practice;BEng(Hon) BIS(Hon) DipProfPrac;30000;Bachelor Honours;Honours Degree;6,5;Coursework;Course;90300;;;;;10060;AC;CR;BACHELORH;HONS;;$CWK
C09148;2;Bachelor of Engineering (Honours) Bachelor of International Studies (Honours) Diploma in Professional Engineering Practice;Active;BCH;Bachelor's Combined Honours;300,0;0;0;0;D;Engineering and Information Technology;C09148;BEng (Hon) BIS (Hon) Diploma in Professional Engineering Practice;BEng(Hon) BIS(Hon) DipProfPrac;30000;Bachelor Honours;Honours Degree;6,5;Coursework;Course;90300;;;;;21050;AC;CR;BACHELORH;HONS;;$CWK
C09162;2;Bachelor of Information Technology Bachelor of International Studies (Honours);Active;BCH;Bachelor's Combined Honours;240,0;0;0;0;D;Engineering and Information Technology;C09162;Bachelor of Information Technology B International Studies (Honours);BIT BIntSt(Hon);10199;Bachelor Honours;Degree;5;Coursework;Course;90300;;;;;21050;AC;CR;BACHELORH;DEG;;$CWK
C09162;2;Bachelor of Information Technology Bachelor of International Studies (Honours);Active;BCH;Bachelor's Combined Honours;240,0;0;0;0;D;Engineering and Information Technology;C09162;Bachelor of Information Technology B International Studies (Honours);BIT BIntSt(Hon);10199;Bachelor;Degree;5;Coursework;Course;90300;;;;;21050;AC;CR;BACHELOR;DEG;;$CWK
C09162;2;Bachelor of Information Technology Bachelor of International Studies (Honours);Active;BCH;Bachelor's Combined Honours;240,0;0;0;0;D;Engineering and Information Technology;C09162;Bachelor of Information Technology B International Studies (Honours);BIT BIntSt(Hon);10199;Bachelor;Degree;5;Coursework;Course;90300;;;;;10070;AC;CR;BACHELOR;DEG;;$CWK
C09162;2;Bachelor of Information Technology Bachelor of International Studies (Honours);Active;BCH;Bachelor's Combined Honours;240,0;0;0;0;D;Engineering and Information Technology;C09162;Bachelor of Information Technology B International Studies (Honours);BIT BIntSt(Hon);10199;Bachelor Honours;Degree;5;Coursework;Course;90300;;;;;10070;AC;CR;BACHELORH;DEG;;$CWK
C09166;1;Bachelor of Cybersecurity Bachelor of International Studies (Honours);Active;BCH;Bachelor's Combined Honours;240,0;0;0;0;D;Engineering and Information Technology;C09166;Bachelor of Cybersecurity Bachelor of International Studies (Honours);BCybersecurity BIntSt (Hons);29901;Bachelor;Degree;5;Coursework;Course;90300;;;;;21050;AC;CR;BACHELOR;DEG;;$CWK
C09166;1;Bachelor of Cybersecurity Bachelor of International Studies (Honours);Active;BCH;Bachelor's Combined Honours;240,0;0;0;0;D;Engineering and Information Technology;C09166;Bachelor of Cybersecurity Bachelor of International Studies (Honours);BCybersecurity BIntSt (Hons);29901;Bachelor;Degree;5;Coursework;Course;90300;;;;;10070;AC;CR;BACHELOR;DEG;;$CWK
C09167;1;Bachelor of Artificial Intelligence Bachelor of International Studies (Honours);Active;BCH;Bachelor's Combined Honours;240,0;0;0;0;D;Engineering and Information Technology;C09167;Bachelor of Artificial Intelligence Bachelor of International Studies (Honours);BAI BIntSt (Hon);20119;Bachelor;Degree;5;Coursework;Course;90300;;;;;21050;AC;CR;BACHELOR;DEG;;$CWK
C09167;1;Bachelor of Artificial Intelligence Bachelor of International Studies (Honours);Active;BCH;Bachelor's Combined Honours;240,0;0;0;0;D;Engineering and Information Technology;C09167;Bachelor of Artificial Intelligence Bachelor of International Studies (Honours);BAI BIntSt (Hon);20119;Bachelor Honours;Degree;5;Coursework;Course;90300;;;;;21050;AC;CR;BACHELORH;DEG;;$CWK
C09167;1;Bachelor of Artificial Intelligence Bachelor of International Studies (Honours);Active;BCH;Bachelor's Combined Honours;240,0;0;0;0;D;Engineering and Information Technology;C09167;Bachelor of Artificial Intelligence Bachelor of International Studies (Honours);BAI BIntSt (Hon);20119;Bachelor Honours;Degree;5;Coursework;Course;90300;;;;;10070;AC;CR;BACHELORH;DEG;;$CWK
C09167;1;Bachelor of Artificial Intelligence Bachelor of International Studies (Honours);Active;BCH;Bachelor's Combined Honours;240,0;0;0;0;D;Engineering and Information Technology;C09167;Bachelor of Artificial Intelligence Bachelor of International Studies (Honours);BAI BIntSt (Hon);20119;Bachelor;Degree;5;Coursework;Course;90300;;;;;10070;AC;CR;BACHELOR;DEG;;$CWK
C10066;11;Bachelor of Engineering Science;Active;BD;Bachelor's Degree;144,0;0;0;0;D;Engineering and Information Technology;C10066;Bachelor of Engineering Science;BEngSc;30000;Bachelor;Degree;3;Coursework;Course;;;;;;10060;AC;CR;BACHELOR;DEG;;$CWK
C10143;8;Bachelor of Information Technology (Co-op);Active;BD;Bachelor's Degree;144,0;0;0;0;D;Engineering and Information Technology;C10143;Bachelor of Information Technology (Co-op);BIT(Co-op);20300;Bachelor;Degree;3;Coursework;Course;;;;;;10070;AC;CR;BACHELOR;DEG;;$CWK
C10148;6;Bachelor of Information Technology;Active;BD;Bachelor's Degree;144,0;0;0;0;D;Engineering and Information Technology;C10148;Bachelor of Information Technology;BIT;29900;Bachelor;Degree;3;Coursework;Course;;;;;;10070;AC;CR;BACHELOR;DEG;;$CWK
C10229;6;Bachelor of Games Development;Active;BD;Bachelor's Degree;144,0;0;0;0;D;Engineering and Information Technology;C10229;Bachelor of Games Development;BGameDev;20115;Bachelor;Degree;3;Coursework;Course;;;;;;10070;AC;CR;BACHELOR;DEG;;$CWK
C10239;3;Bachelor of Information Technology Bachelor of International Studies;Active;BCD;Bachelor's Combined Degree;240,0;0;0;0;D;Engineering and Information Technology;C10239;Bachelor of Information Technology B International Studies;BIT BIntSt;29900;Bachelor;Degree;5;Coursework;Course;90300;;;;;10070;AC;CR;BACHELOR;DEG;;$CWK
C10239;3;Bachelor of Information Technology Bachelor of International Studies;Active;BCD;Bachelor's Combined Degree;240,0;0;0;0;D;Engineering and Information Technology;C10239;Bachelor of Information Technology B International Studies;BIT BIntSt;29900;Bachelor;Degree;5;Coursework;Course;90300;;;;;21050;AC;CR;BACHELOR;DEG;;$CWK
C10327;3;Bachelor of Information Technology Bachelor of Creative Intelligence and Innovation;Active;BCD;Bachelor's Combined Degree;240,0;0;0;0;D;Engineering and Information Technology;C10327;Bachelor of Information Technology Bachelor of Creative Intelligence and Innovat;BIT BCIInn;29900;Bachelor;Degree;5;Coursework;Course;100799;;;;;10035;AC;CR;BACHELOR;DEG;;$CWK
C10327;3;Bachelor of Information Technology Bachelor of Creative Intelligence and Innovation;Active;BCD;Bachelor's Combined Degree;240,0;0;0;0;D;Engineering and Information Technology;C10327;Bachelor of Information Technology Bachelor of Creative Intelligence and Innovat;BIT BCIInn;29900;Bachelor;Degree;5;Coursework;Course;100799;;;;;21070;AC;CR;BACHELOR;DEG;;$CWK
C10345;3;Bachelor of Information Technology Diploma in Information Technology Professional Practice;Active;BD;Bachelor's Degree;192,0;0;0;0;D;Engineering and Information Technology;C10345;Bachelor of Information Technology Diploma IT Professional Practice;BIT DipITProfPrac;29900;Bachelor/Dip;Degree;4;Coursework;Course;;;;;;10070;AC;CR;BACHELORDI;DEG;;$CWK
C10395;2;Bachelor of Information Systems;Active;BD;Bachelor's Degree;144,0;0;0;0;D;Engineering and Information Technology;C10395;Bachelor of Information Systems;B Information Systems;20300;Bachelor;Degree;3;Coursework;Course;;;;;;10070;AC;CR;BACHELOR;DEG;;$CWK
C10408;2;Bachelor of Technology;Active;BD;Bachelor's Degree;144,0;0;0;0;D;Engineering and Information Technology;C10408;Bachelor of Technology;BTech;30000;Bachelor;Degree;3;Coursework;Course;;;;;;10060;AC;CR;BACHELOR;DEG;;$CWK
C10471;1;Bachelor of Cybersecurity;Active;BD;Bachelor's Degree;144,0;0;0;0;D;Engineering and Information Technology;C10471;Bachelor of Cybersecurity;Bachelor of Cybersecurity;29901;Bachelor;Degree;3;Coursework;Course;;;;;;10070;AC;CR;BACHELOR;DEG;;$CWK
C10473;1;Bachelor of Cybersecurity Bachelor of International Studies;Active;BCD;Bachelor's Combined Degree;240,0;0;0;0;D;Engineering and Information Technology;C10473;Bachelor of Cybersecurity Bachelor of International Studies;BCybersecurity BIntSt;29901;Bachelor;Degree;5;Coursework;Course;90300;;;;;21050;AC;CR;BACHELOR;DEG;;$CWK
C10473;1;Bachelor of Cybersecurity Bachelor of International Studies;Active;BCD;Bachelor's Combined Degree;240,0;0;0;0;D;Engineering and Information Technology;C10473;Bachelor of Cybersecurity Bachelor of International Studies;BCybersecurity BIntSt;29901;Bachelor;Degree;5;Coursework;Course;90300;;;;;10070;AC;CR;BACHELOR;DEG;;$CWK
C10474;1;Bachelor of Artificial Intelligence;Active;BD;Bachelor's Degree;144,0;0;0;0;D;Engineering and Information Technology;C10474;Bachelor of Artificial Intelligence;B Artificial Intelligence;20119;Bachelor;Degree;3;Coursework;Course;;;;;;10070;AC;CR;BACHELOR;DEG;;$CWK
C10475;1;Bachelor of Artificial Intelligence Bachelor of International Studies;Active;BCD;Bachelor's Combined Degree;240,0;0;0;0;D;Engineering and Information Technology;C10475;Bachelor of Artificial Intelligence Bachelor of International Studies;BAI BIntStd;20119;Bachelor;Degree;5;Coursework;Course;90300;;;;;10070;AC;CR;BACHELOR;DEG;;$CWK
C10475;1;Bachelor of Artificial Intelligence Bachelor of International Studies;Active;BCD;Bachelor's Combined Degree;240,0;0;0;0;D;Engineering and Information Technology;C10475;Bachelor of Artificial Intelligence Bachelor of International Studies;BAI BIntStd;20119;Bachelor;Degree;5;Coursework;Course;90300;;;;;21050;AC;CR;BACHELOR;DEG;;$CWK
C10476;1;Bachelor of Computing Science;Active;BD;Bachelor's Degree;144,0;0;0;0;D;Engineering and Information Technology;C10476;Bachelor of Computing Science;BCompSc;20100;Bachelor;Degree;3;Coursework;Course;;;;;;10070;AC;CR;BACHELOR;DEG;;$CWK